"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"1","CUNY","BMCC (Borough of Manhattan Community College)","199 Chambers St","Manhattan","No","11/29/2017","309.67","9.20%","340637","0.124363782","98 MT CO2","$13,980","$47,689","$4,200,000","Capital","Completed",,,,,,"2022","07/07/2022","10007","40.716838","-74.012117","101","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy"
"1","DCAS","City Hall_Solar PV","City Hall Park","Manhattan","No","4/17/2015","10.45","4.70%","11495","0.026346852","3 MT CO2","$472","$1,839","$1,297","Capital","Completed",,,,,,"2022","07/07/2022","10007","40.712386","-74.006879","101","31","1000000","1001220001","SoHo-TriBeCa-Civic Center-Little Italy"
"1","DCLA","Museum of Jewish Heritage","36 Battery Pl","Manhattan","No","1/1/2003","36.63","5.20%","40293","0.041560898","12 MT CO2","$1,654","$4,835","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10280","40.705806","-74.018001","101","31704","1084594","1000160010","Battery Park City-Lower Manhattan"
"1","DOE","M276","55 Battery Pl","Manhattan","No","7/1/2010","48.8","6.90%","53680","0.009298652","16 MT CO2","$2,203","$8,589","$231,500","Capital","Completed",,,,,,"2022","07/07/2022","10280","40.70644","-74.017818","101","31704","1087945","1000160040","Battery Park City-Lower Manhattan"
"1","DOT","Whitehall Ferry Termil","4 South St","Manhattan","No","7/1/2005","59","9.60%","64900","0.026359612","19 MT CO2","$2,664","$7,788","$236,000","Capital","Completed",,,,,,"2022","07/07/2022","10004","40.701695","-74.011631","101","9","1085792","1000020001","Battery Park City-Lower Manhattan"
"1","DPR","Washington Square Park CS","Washington Square Park","Manhattan","No","7/1/2013","10.56","22.60%","11616","0.093484419","3 MT CO2","$477","$1,626","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10011","40.730883","-73.997593","102","65","1000000","1005490001","West Village"
"2","DOE","M022 - NEST","111 Columbia St","Manhattan","Yes","7/1/2014","125.89","29.30%","138479","0.201723578","40 MT CO2","$5,683","$24,926","$905,386","Capital","Completed",,,,,,"2022","07/07/2022","10002","40.718895","-73.979308","103","2201","1004070","1003350001","Lower East Side"
"3","DOE","M070_I.S. 70 Manhattan","333 West 17 St","Manhattan","No","4/21/2016","159.21","18.20%","175131","0.283929761","51 MT CO2","$7,187","$52,539","$650,690","Capital","Completed",,,,,,"2022","07/07/2022","10011","40.742129","-74.002198","104","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square"
"4","DOE","M006_Lillie D. Blake","45 East 81 St","Manhattan","No","1/1/2009","21.4","8.70%","23540","0.068858597","7 MT CO2","$966","$4,473","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10028","40.777455","-73.960713","108","142","1046668","1014930021","Upper East Side-Carnegie Hill"
"6","DOE","M470 - Brandeis","145 West 84th St","Manhattan","No","1/20/2012","46.8","5.30%","51480","0.045497932","15 MT CO2","$2,113","$10,788","$392,500","Capital","Completed",,,,,,"2022","07/07/2022","10024","40.785803","-73.974614","107","169","1032128","1012150001","Upper West Side"
"8","DPR","Five Borough Administrative Building","15 Bronx Shore Rd","Manhattan","Yes","6/5/2015","87.8","36.00%","96580","0.13403092","28 MT CO2","$3,964","$11,590","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"9","DOE","M154","250 West 127th St","Manhattan","Yes","4/28/2014","125.89","52.00%","138479","0.26366958","40 MT CO2","$5,683","$24,926","$578,750","Capital","Completed",,,,,,"2022","07/07/2022","10027","40.810928","-73.948938","110","224","1058671","1019320010","Central Harlem North-Polo Grounds"
"10","DOE","X475_John F Kennedy High School","99 Terrace View Ave","Bronx","Yes","7/15/2014","117","10.60%","128700","0.045229309","37 MT CO2","$5,282","$19,305","$0","PPA","Completed",,,,,,"2022","07/07/2022","10463","40.877105","-73.912256","208","309","1064532","1022150080","Marble Hill-Inwood"
"11","DOE","X445 - Bronx High School of Science","75 West 205th St","Bronx","No","10/1/2005","33.6","4.00%","36960","0.024506684","11 MT CO2","$1,517","$6,653","$166,680","Capital","Completed",,,,,,"2022","07/07/2022","10468","40.87759","-73.89104","207","409","2094706","2032510201","Van Cortlandt Village"
"12","DOE","X425_Bronx Lab School","800 East Gun Hill Rd","Bronx","Yes","1/13/2016","131.76","21.10%","144936","0.081381925","42 MT CO2","$5,948","$21,740","$570,186","Capital","Completed",,,,,,"2022","07/07/2022","10467","40.875953","-73.86197","212","372","2057045","2046330040","Williamsbridge-Olinville"
"13","DOE","X144_J.H.S. 144 Michelangelo","2545 Gunther Ave","Bronx","Yes","4/8/2016","192.15","56.30%","211365","0.248499527","61 MT CO2","$8,674","$42,273","$800,653","Capital","Completed",,,,,,"2022","07/07/2022","10469","40.863735","-73.83607","211","310","2053518","2044930001","Allerton-Pelham Gardens"
"13","DOE","X192_I.S. 192 Piagentini and Jones","650 Hollywood Ave","Bronx","No","3/15/2016","137.25","42.60%","150975","0.151493866","44 MT CO2","$6,196","$24,156","$571,895","Capital","Completed",,,,,,"2022","07/07/2022","10465","40.826526","-73.818417","210","158","2077130","2054380001","Schuylerville-Throgs Neck-Edgewater Park"
"13","DOE","X405_Herbert Lehman High School","3000 East Tremont Ave","Bronx","Yes","7/15/2014","245.64","21.30%","270204","0.092364679","78 MT CO2","$11,089","$40,755","$0","PPA","Completed",,,,,,"2022","07/07/2022","10461","40.840702","-73.838545","210","194","2074045","2053680001","Schuylerville-Throgs Neck-Edgewater Park"
"15","DCLA","NYBG Howell Family Garden Center","1575 Bronx Park Rd","Bronx","No","1/1/2018","11","1.10%","12100","0.00407284","3 MT CO2","$497","$1,452","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10467","40.856665","-73.875798","227","334","2000000","2043360001","park-cemetery-etc-Bronx"
"15","DCLA","NYBG Parking Garage (2) 4kW","2960 Webster Ave","Bronx","No","1/1/2012","8","8.60%","8800","0.025056948","3 MT CO2","$361","$968","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10458","40.86749","-73.883225","207","425","2118801","2032740001","Norwood"
"15","NYPD","48th Precinct","450 Cross Bronx Expressway Ext","Bronx","Yes","3/30/2012","31.7","10.80%","34870","0.032187197","10 MT CO2","$1,431","$3,836","$352,987","Capital","Completed",,,,,,"2022","07/07/2022","10457","40.844149","-73.900604","206","165","2009509","2029070010","Claremont-Bathgate"
"17","DOE","X184_I.S. 184 South Bronx Academy for Applied Media","778 Forest Ave","Bronx","Yes","4/8/2016","248.85","55.90%","273735","0.26297031","79 MT CO2","$11,234","$57,484","$943,255","Capital","Completed",,,,,,"2022","07/07/2022","10456","40.818874","-73.905927","201","77","2004690","2026550030","Melrose South-Mott Haven North"
"17","DPR","Bronx River Greenway River House","1490 Sheridan Expy","Bronx","No","6/1/2017","68.67","93.20%","75537","0.326241594","22 MT CO2","$3,100","$43,056","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10459","40.832528","-73.883782","209","157","2000000","2030190100","Crotona Park East"
"18","DOE","X131_J.H.S. 131 Albert Einstein","885 Bolton Ave","Bronx","Yes","3/15/2016","200.08","50.00%","220088","0.248606103","64 MT CO2","$9,032","$46,385","$833,696","Capital","Completed",,,,,,"2022","07/07/2022","10473","40.823526","-73.859662","209","42","2103869","2036440001","Soundview-Castle Hill-Clason Point-Harding Park"
"19","DOE","Q405","32-24 Corp Kennedy St","Queens","No","11/25/2020","456.78","90.90%","502458","0.291506784","145 MT CO2","$20,621","$75,369","$0","PPA","Completed",,,,,,"2022","07/07/2022","11361","40.771755","-73.780296","411","1097","4134578","4060440001","Bayside-Bayside Hills"
"32","DPR","Beach Struc08: Beach 117 St - Package 1.08","115-11 Ocean Promede","Queens","No","7/6/1905","9.5","41.00%","10450","0.122753436","3 MT CO2","$429","$1,672","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"20","DCLA","Queens Botanical Garden","43-50 Main St","Queens","Yes","3/7/2007","16.8","14.40%","18480","0.040342298","5 MT CO2","$758","$2,772","$83,340","Capital","Completed",,,,,,"2022","07/07/2022","11355","40.751508","-73.826092","407","79702","4439682","4051070200","Flushing"
"20","DOE","Q237_I.S. 237 Rachel Carson","46-21 Colden St","Queens","Yes","4/13/2016","247","55.00%","271700","0.309136421","79 MT CO2","$11,151","$62,491","$907,435","Capital","Completed",,,,,,"2022","07/07/2022","11355","40.749545","-73.822073","407","845","4116436","4051470001","Flushing"
"21","DCLA","New York Hall of Science","47-01 111th St","Queens","No","10/1/2005","16","1.20%","17600","0.005595117","5 MT CO2","$722","$2,464","$155,598","Capital","Completed",,,,,,"2022","07/07/2022","11368","40.747399","-73.853546","481","38302","4441124","4020180001","park-cemetery-etc-Queens"
"21","NYPD","115th Precinct","92-15 Northern Blvd","Queens","Yes","3/30/2012","49.7","38.00%","54670","0.096124767","16 MT CO2","$2,244","$6,014","$536,633","Capital","Completed",,,,,,"2022","07/07/2022","11372","40.756571","-73.875836","403","351","4034862","4014220034","Jackson Heights"
"22","DOC","Rikers Island Composting Station","Rikers Island","Bronx","No","12/1/1996","10","1.20%","11000","0.012032378","3 MT CO2","$451","$1,650","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11370","40.790576","-73.881894","401","1","2000000","2026050040","Rikers Island"
"22","DOE","Q171","14-14 29th Ave","Queens","No","7/24/2020","178.02","67.90%","195822","0.307309632","57 MT CO2","$8,037","$29,370","$0","Agency Funded","Completed",,,,,,"2022","07/07/2022","11102","40.771336","-73.929086","401","83","4006046","4005370014","Old Astoria"
"22","NYPD","114th Precinct","34-16 Astoria Blvd","Queens","No","3/30/2012","37.4","16.50%","41140","0.066627798","12 MT CO2","$1,688","$4,937","$409,808","Capital","Completed",,,,,,"2022","07/07/2022","11103","40.769581","-73.915593","401","6501","4009361","4006320030","Astoria"
"23","DOE","Q018","86-35 235th Ct","Queens","Yes","11/17/2020","161.46","96.80%","177606","0.420542425","51 MT CO2","$7,289","$26,641","$0","PPA","Completed",,,,,,"2022","07/07/2022","11427","40.732112","-73.73246","413","1621","4166561","4079550002","Bellerose"
"23","DOE","Q074","61-15 Oceania St","Queens","Yes","11/19/2020","143.52","34.40%","157872","0.199860238","46 MT CO2","$6,479","$23,681","$0","PPA","Completed",,,,,,"2022","07/07/2022","11364","40.745201","-73.767446","411","1367","4163953","4077230001","Oakland Gardens"
"24","DOE","Q505_Hillcrest High School","160-05 Highland Ave","Queens","Yes","4/6/2016","367.83","46.80%","404613","0.193537972","117 MT CO2","$16,605","$72,830","$1,589,608","Capital","Completed",,,,,,"2022","07/07/2022","11432","40.709446","-73.80166","408","448","4448767","4097740001","Briarwood-Jamaica Hills"
"26","DOE","Q204_I.S. 204 Oliver W. Holmes","36-41 28 St","Queens","No","4/6/2016","159.21","74.20%","175131","0.307284566","51 MT CO2","$7,187","$35,026","$663,398","Capital","Completed",,,,,,"2022","07/07/2022","11106","40.757065","-73.932664","401","51","4004156","4003430001","Queensbridge-Ravenswood-Long Island City"
"26","DOE","Q445_William Cullen Bryant High School","48-10 31 Ave","Queens","Yes","4/6/2016","199.88","48.30%","219868","0.191745126","64 MT CO2","$9,023","$39,576","$792,584","Capital","Completed",,,,,,"2022","07/07/2022","11103","40.75823","-73.910514","401","163","4013655","4007380002","Astoria"
"26","DPR","Hunters Point South Waterfront Park","52-10 Center Blvd","Queens","No","1/1/2014","20.16","60.80%","22176","0.217377666","6 MT CO2","$910","$2,661","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11101","40.742026","-73.960145","402","1",,,"Hunters Point-Sunnyside-West Maspeth"
"26","FDNY","R & T Transportation Repair Shop","48-34 35th St","Queens","No","3/28/2012","31.68","5.20%","34848","0.016654177","10 MT CO2","$1,430","$4,182","$393,729","Capital","Completed",,,,,,"2022","07/07/2022","11101","40.740165","-73.930693","402","199","4003451","4002540001","Hunters Point-Sunnyside-West Maspeth"
"28","DOE","Q072_Catherine & Count Basie Middle School 72","133-25 Guy R Brewer Blvd","Queens","Yes","4/13/2016","248.85","82.30%","273735","0.299316046","79 MT CO2","$11,234","$49,272","$943,255","Capital","Completed",,,,,,"2022","07/07/2022","11434","40.673769","-73.775951","412","33402","4270059","4124950270","Springfield Gardens North"
"28","DOE","Q226_J.H.S. 226 Virgil I. Grissom","121-10 Rockaway Blvd","Queens","Yes","4/13/2016","135.85","27.80%","149435","0.102758495","43 MT CO2","$6,133","$23,910","$499,089","Capital","Completed",,,,,,"2022","07/07/2022","11420","40.675771","-73.816938","410","840","4253607","4117140100","South Ozone Park"
"29","DOE","Q157","63-55 102nd St","Queens","No","11/24/2020","207","49.30%","227700","0.20705647","66 MT CO2","$9,345","$34,155","$0","PPA","Completed",,,,,,"2022","07/07/2022","11374","40.732289","-73.853825","406","721","4442846","4021260014","Forest Hills"
"31","DOE","Q215_Lucretia Mott","535 Briar Pl","Queens","Yes","6/11/2018","172.66","94.80%","189926","0.611608997","55 MT CO2","$7,795","$58,877","$2,798,825","Capital","Completed",,,,,,"2022","07/07/2022","11691","40.5993","-73.758206","414","99801","4301194","4157720031","Far Rockaway-Bayswater"
"31","DPR","Beach Struc01: Beach 32 St - Package 1.01","Shore Front Pkwy","Queens","No","7/6/1905","3","10.70%","3300","0.106520336","1 MT CO2","$135","$1,056","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"31","DPR","Beach Struc02: Beach 59 St - Package 1.02","Shore Front Pkwy","Queens","No","7/6/1905","3","8.80%","3300","0.141630901","1 MT CO2","$135","$1,056","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"31","DPR","Beach Struc03: Beach 66 St - Package 1.03","Shore Front Pkwy","Queens","No","7/6/1905","3","15.90%","3300","0.065191624","1 MT CO2","$135","$561","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"31","DPR","Beach Struc04: Beach 73 St - Package 1.04","Shore Front Pkwy","Queens","No","7/6/1905","4","17.30%","4400","0.162721893","1 MT CO2","$181","$1,100","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"31","DSNY","Queens 13 East","153-67 146th Ave","Queens","Yes","3/27/2012","49.68","42.40%","54648","0.104800479","16 MT CO2","$2,243","$6,560","$524,323","Capital","Completed",,,,,,"2022","07/07/2022","11434","40.664629","-73.784675","413","306","4433112","4150010073","Springfield Gardens South-Brookville"
"32","DOT","Sunrise Yard","88-20 Pitkin Ave","Queens","Yes","2/22/2012","49.68","64.10%","54648","0.22547531","16 MT CO2","$2,243","$9,294","$517,382","Capital","Completed",,,,,,"2022","07/07/2022","11417","40.673779","-73.847572","410","58",,,"Ozone Park"
"32","DPR","Beach Struc05: Beach 86 St - Package 1.05","101-89 Shore Front Pkwy","Queens","No","7/6/1905","4","10.30%","4400","0.029617663","1 MT CO2","$181","$792","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11694","40.582107","-73.821612","414","94201",,,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"32","DPR","Beach Struc06: Beach 97 St - Package 1.06","96-20 Shore Front Pkwy","Queens","No","7/6/1905","3","4.40%","3300","0.033367037","1 MT CO2","$135","$726","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11693","40.583382","-73.817108","414","94201","4542747","4161690011","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"32","DPR","Beach Struc07: Beach 106 St - Package 1.07","Boardwalk Beach 106th St","Queens","No","7/6/1905","4","21.20%","4400","0.200574372","1 MT CO2","$181","$968","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"33","DOE","K380_PS 380 John Wayne Elementary","370 Marcy Ave","Brooklyn","Yes","3/12/2016","104.31","26.10%","114741","0.204916232","33 MT CO2","$4,709","$26,390","$434,640","Capital","Completed",,,,,,"2022","07/07/2022","11206","40.702427","-73.952985","301","531","3061235","3022360009","Bedford"
"33","DPR","Bushwick Inlet Park","Kent Ave","Brooklyn","No","10/1/2013","67.2","62.60%","73920","0.228486647","21 MT CO2","$3,034","$13,306","$264,600","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"33","EDC","Brooklyn vy Yard - Building 293","63 Flushing Ave","Brooklyn","No","5/1/2016","992.88","427.60%","1092168","0.693982849","316 MT CO2","$44,823","$163,825","$0","Agency Funded","Completed",,,,,,"2022","07/07/2022","11205","40.69802","-73.974986","302","543","3335129","3020230001","park-cemetery-etc-Brooklyn"
"36","DCLA","Brooklyn Children's Museum","145 Brooklyn Ave","Brooklyn","Yes","9/16/2009","26.6","7.80%","29260","0.023081899","8 MT CO2","$1,201","$3,207","$247,283","Capital","Completed",,,,,,"2022","07/07/2022","11213","40.674773","-73.944464","308","341","3031049","3012290001","Crown Heights North"
"36","DOE","K324_M.S. 267 Math, Science & Technology","800 Gates Ave","Brooklyn","Yes","9/24/2015","120.78","19.30%","132858","0.098031519","38 MT CO2","$5,453","$19,929","$545,104","Capital","Completed",,,,,,"2022","07/07/2022","11221","40.68832","-73.932275","303","293","3044657","3016360001","Stuyvesant Heights"
"36","DOE","K455_Boys and Girls High School","1700 Fulton St","Brooklyn","Yes","10/23/2015","505.08","69.60%","555588","0.258030418","161 MT CO2","$22,801","$77,782","$2,114,467","Capital","Completed",,,,,,"2022","07/07/2022","11213","40.67944","-73.932407","303","271","3047996","3017010001","Crown Heights North"
"37","DOE","K302_J.H.S. Rafael Cordero","350 Linwood St","Brooklyn","Yes","9/22/2015","137.25","37.00%","150975","0.197050282","44 MT CO2","$6,196","$31,705","$616,767","Capital","Completed",,,,,,"2022","07/07/2022","11208","40.677104","-73.883433","305","1170","3088357","3039690001","East New York"
"38","DPR","Red Hook Recreation Center","155 Bay St","Brooklyn","Yes","3/16/2015","11.4","9.00%","12540","0.038379139","4 MT CO2","$515","$4,831","$75,000","Capital","Completed",,,,,,"2022","07/07/2022","11231","40.671937","-74.003515","306","53","3008670","3005820001","Carroll Gardens-Columbia Street-Red Hook"
"38","EDC","Brooklyn Army Termil","140 58th St","Brooklyn","No","9/9/2013","100","61.00%","110000","0.240174672","32 MT CO2","$4,514","$16,500","$0","Agency Funded","Completed",,,,,,"2022","07/07/2022","11220","40.645338","-74.022864","307","18","3414976","3057780001","Sunset Park West"
"39","DOE","K032 - Samuels Mills Sprole School","317 Hoyt St","Brooklyn","No","12/12/2011","47.61","30.50%","52371","0.160661531","15 MT CO2","$2,149","$9,427","$341,670","Capital","Completed",,,,,,"2022","07/07/2022","11231","40.680445","-73.991949","306","75","3395587","3004370001","Carroll Gardens-Columbia Street-Red Hook"
"42","DEP","Brooklyn Repair - Remsen Yard","855 Remsen Ave","Brooklyn","No","1/1/2011","43.52","36.00%","47872","0.123269611","14 MT CO2","$1,965","$5,745","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11236","40.646913","-73.913395","318","960","3000000","3081160001","Canarsie"
"42","DOE","K224_Hale A. Woodruff High School","755 Wortman Ave","Brooklyn","Yes","9/24/2015","98.82","31.70%","108702","0.204672549","31 MT CO2","$4,461","$22,827","$449,555","Capital","Completed",,,,,,"2022","07/07/2022","11208","40.664037","-73.86637","305","1220","3346166","3045290133","East New York"
"44","DOE","K505_Franklin Delano Roosevelt High School","5800 20 Ave","Brooklyn","Yes","9/18/2015","362.34","77.40%","398574","0.387954143","115 MT CO2","$16,358","$83,701","$1,516,875","Capital","Completed",,,,,,"2022","07/07/2022","11204","40.620446","-73.981795","312","468","3131537","3055060006","Borough Park"
"45","DSNY","Brooklyn South 14","1397 Ralph Ave","Brooklyn","No","3/22/2012","49.68","63.70%","54648","0.179145577","16 MT CO2","$2,243","$6,560","$511,334","Capital","Completed",,,,,,"2022","07/07/2022","11236","40.642674","-73.919717","318","960","3221978","3079180145","Canarsie"
"46","DOE","K278_J.H.S. 278 Marine Park","1925 Stuart St","Brooklyn","No","4/12/2016","120.78","29.50%","132858","0.225466604","38 MT CO2","$5,453","$27,900","$503,268","Capital","Completed",,,,,,"2022","07/07/2022","11229","40.60665","-73.939176","315","666","3239889","3084960100","park-cemetery-etc-Brooklyn"
"46","DOE","K515_South Shore Educatiol Campus","6565 Flatlands Ave","Brooklyn","Yes","4/12/2016","590.2","70.00%","649220","0.357890211","188 MT CO2","$26,644","$116,860","$2,617,082","Capital","Completed",,,,,,"2022","07/07/2022","11236","40.633285","-73.916735","318","950","3224139","3079980005","Canarsie"
"46","DPR","Marine Park Carmine Carro Community Center","3000 Fillmore Ave","Brooklyn","No","3/1/2013","10.36","10.00%","11396","0.042214287","3 MT CO2","$468","$1,481","N/A","Capital","Completed",,,,,,"2022","07/07/2022","11234","40.608592","-73.937467","318","666","3000000","3084960001","park-cemetery-etc-Brooklyn"
"46","DPR","Paedergat Basin Water Quality Facility","1961 Bergen Ave","Brooklyn","No","5/1/2014","0.46","157.20%","506","0.778461538","0 MT CO2","$21","$76","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"47","DPR","Beach Struc10: Brighton 2 St - Package 1.10","The Boardwalk E/O Brighton 2nd St","Brooklyn","No","4/24/2014","3","6.10%","3300","0.154061625","1 MT CO2","$135","$1,881","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"47","DPR","Beach Struc12: West 8 St - Package 1.12","West 8th St & Boardwalk","Brooklyn","No","7/6/1905","4","30.40%","4400","0.219560878","1 MT CO2","$181","$704","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"48","DPR","Beach Struc11: West 2 St - Package 1.11","The Boardwalk at West 5th St","Brooklyn","No","7/6/1905","3","12.10%","3300","0.089527944","1 MT CO2","$135","$561","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"49","DEP","Port Richmond WWTP","1800 Richmond Ter","Staten Island","Yes","6/1/2015","1267.5","32.50%","1394250","0.058088304","403 MT CO2","$57,220","$208,601","$0","PPA","Completed",,,,,,"2022","07/07/2022","10310","40.637276","-74.125315","501","13302","5005372","5002000026","West New Brighton-New Brighton-St. George"
"49","DOE","R013 - M. L. Lindemeyer","191 Vermont Ave","Staten Island","Yes","9/1/2005","4","1.10%","4400","0.00667071","1 MT CO2","$181","$836","$18,520","Capital","Completed",,,,,,"2022","07/07/2022","10305","40.613216","-74.069889","501","8","5042776","5028520001","Stapleton-Rosebank"
"49","DOE","R014","100 Tompkins Ave","Staten Island","No","12/1/2006","4","1.30%","4400","0.00730897","1 MT CO2","$181","$748","$18,520","Capital","Completed",,,,,,"2022","07/07/2022","10304","40.622455","-74.078508","501","29","5014176","5005450110","Stapleton-Rosebank"
"49","DOE","R445_Port Richmond High School","85 St. Josephs Ave","Staten Island","No","4/15/2016","120.78","13.80%","132858","0.072502617","38 MT CO2","$5,453","$23,914","$545,104","Capital","Completed",,,,,,"2022","07/07/2022","10302","40.634573","-74.141818","501","213","5026076","5011210001","Port Richmond"
"49","DOT","SI Ferry Maintence Facility - St. George Ferry Termil","1 Bay St","Staten Island","Yes","6/30/2014","221","63.80%","243100","0.177821666","70 MT CO2","$9,977","$36,465","$0","PPA","Completed",,,,,,"2022","07/07/2022","10301","40.643733","-74.072789","501","3","5141706","5000020001","West New Brighton-New Brighton-St. George"
"0","DEP","Water Supply Facility","Margaretville","Upstate","No",,,,,,,,,,,"Not Solar Ready","No","18,894 GSF","Good","> 20 years","No","2022","07/07/2022",,,,,,,,
"50","DPR","Beach Struc14: Cedar Grove Beach - Package 1.14","260 Cedar Grove Ave","Staten Island","No","6/20/2014","4","19.00%","4400","0.263567749","1 MT CO2","$181","$924","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"50","DPR","Beach Struc15: Midland Park Beach - Package 1.15","Fr Capodanno Blvd","Staten Island","No","4/24/2014","3","11.40%","3300","0.056027165","1 MT CO2","$135","$495","N/A","Capital","Completed",,,,,,"2022","07/07/2022",,,,,,,,
"51","DOE","R062 - NET ZERO","644 Bloomingdale Rd","Staten Island","No","9/1/2015","618.7","156.60%","680570","0.863919672","197 MT CO2","$27,931","$204,171","$2,778,000","Capital","Completed",,,,,,"2022","07/07/2022","10309","40.541555","-74.217932","503","226","5158758","5070920039","Charleston-Richmond Valley-Tottenville"
"51","DOE","R069_Daniel D. Tompkins School","144 Keating Pl","Staten Island","No","4/20/2015","203.13","54.80%","223443","0.305148701","65 MT CO2","$9,170","$53,626","$905,386","Capital","Completed",,,,,,"2022","07/07/2022","10314","40.591468","-74.156705","502","27705","5037541","5023660073","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"51","DOE","R075_I.S. 075 Frank D. Paulo","455 Huguenot Ave","Staten Island","No","4/15/2016","129.68","18.80%","142648","0.140367312","41 MT CO2","$5,854","$34,236","$568,796","Capital","Completed",,,,,,"2022","07/07/2022","10312","40.54438","-74.197897","503","17010","5079651","5060500002","Arden Heights"
"51","DOE","R455_Tottenville High School","100 Luten Ave","Staten Island","No","4/15/2016","532.53","55.30%","585783","0.214432479","169 MT CO2","$24,041","$99,583","$2,218,953","Capital","Completed",,,,,,"2022","07/07/2022","10312","40.528092","-74.192032","503","198","5082634","5066130001","Annadale-Huguenot-Prince's Bay-Eltingville"
"51","DPR","Beach Struc13: Wolfes Pond Beach - Package 1.13","460 Cornelia Ave","Staten Island","No","6/5/2014","7","55.20%","7700","0.377081293","2 MT CO2","$316","$33,264","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10312","40.519636","-74.187814","503","198","5000000","5065960001","Annadale-Huguenot-Prince's Bay-Eltingville"
"51","FDNY","Engine Co 168","1100 Rossville Ave","Staten Island","No","3/28/2012","34.56","46.00%","38016","0.196266314","11 MT CO2","$1,560","$4,942","$441,503","Capital","Completed",,,,,,"2022","07/07/2022","10309","40.553977","-74.212812","503","20801","5154879","5070670252","Rossville-Woodrow"
"0","DEP","Cat-Del BWS UV Facility","2 Walker Rd","Upstate","No",,"419.6","309.40%","461560","0.76844699","133 MT CO2","$18,942","$69,234",,"PPA","In Progress",,,,,,"2022","07/07/2022",,,,,,,,
"0","DEP","Margaretville BWS Facility","41148 Hwy 28","Upstate","No",,"410.5","89.10%","451550","0.295200178","131 MT CO2","$18,532","$67,733",,"PPA","In Progress",,,,,,"2022","07/07/2022",,,,,,,,
"0","DEP","Pine Hill BWS Facility","8811 State Rte 28","Upstate","No",,"271","93.40%","298100","0.238632916","86 MT CO2","$12,234","$44,715",,"PPA","In Progress",,,,,,"2022","07/07/2022",,,,,,,,
"1","DCAS","100 Gold Street","100 Gold St","Manhattan","No",,"226.77","6.40%","249447","0.023546953","72 MT CO2","$10,237","$37,417",,"PPA","In Progress",,,,,,"2022","07/07/2022","10038","40.710353","-74.004007","101","1501","1001289","1000940025","Battery Park City-Lower Manhattan"
"1","DOE","M020","166 Essex St","Manhattan","Yes",,"192.66","79.60%","211926","0.567253747","61 MT CO2","$8,697","$31,789",,"PPA","In Progress",,,,,,"2022","07/07/2022","10002","40.72154","-73.986648","103","3001","1004325","1003550001","Chinatown"
"1","DOE","M025","145 Stanton St","Manhattan","No",,"215.28","42.20%","236808","0.202607803","68 MT CO2","$9,719","$35,521",,"PPA","In Progress",,,,,,"2022","07/07/2022","10002","40.720581","-73.985645","103","3001","1004323","1003540080","Chinatown"
